filename,length,chroma_mean,chroma_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,spectral_rolloff_mean,spectral_rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,mfccs_1_mean,mfccs_1_var,mfccs_2_mean,mfccs_2_var,mfccs_3_mean,mfccs_3_var,mfccs_4_mean,mfccs_4_var,mfccs_5_mean,mfccs_5_var,mfccs_6_mean,mfccs_6_var,mfccs_7_mean,mfccs_7_var,mfccs_8_mean,mfccs_8_var,mfccs_9_mean,mfccs_9_var,mfccs_10_mean,mfccs_10_var,mfccs_11_mean,mfccs_11_var,mfccs_12_mean,mfccs_12_var,mfccs_13_mean,mfccs_13_var,mfccs_14_mean,mfccs_14_var,mfccs_15_mean,mfccs_15_var,mfccs_16_mean,mfccs_16_var,mfccs_17_mean,mfccs_17_var,mfccs_18_mean,mfccs_18_var,mfccs_19_mean,mfccs_19_var,mfccs_20_mean,mfccs_20_var,bpm
1275_홍이삭 정솔 이나우 이자원_내 기억속의 소년 자작곡.wav,882000,161.4990234,0.2750188,0.09128454,0.08378095,0.002276154,1259.87112,354607.6481,1547.263247,115820.2021,2549.460014,1630337.34,0.051728907,0.001745508,4.45E-07,0.007949119,6.39E-06,0.000407118,0.6474552,0.03980053,0.6883207,0.020244224,0.4223836,0.034838013,0.42302427,0.01998654,0.64713854,0.023544675,0.42956164,0.024920288,0.499802,0.025885733,0.4907115,0.036328804,0.5455791,0.027162608,0.39319023,0.023566121,0.46646935,0.023875378,0.48157057,0.03258664,0.40562862,0.018451333,0.52744484,0.033152785,0.5570733,0.03679499,0.62029827,0.026652742,0.54449564,0.02734571,0.4370664,0.022043552,0.36212325,0.014631718,0.31297877,0.014553406
1058_리소  밴젝스_O1O.wav,882000,92.28515625,0.3158754,0.09320011,0.27090377,0.009328907,1824.449186,346370.7749,1785.354713,78956.15597,3888.099143,1204367.946,0.095081934,0.002586223,-0.000201278,0.031514693,-0.0002852,0.02874558,0.64050186,0.025231134,0.56625587,0.020988774,0.41895458,0.028926125,0.5370868,0.039545145,0.5179357,0.02257536,0.5518339,0.027612194,0.4958216,0.019820157,0.58341646,0.024187988,0.48592478,0.02617821,0.51990384,0.030091727,0.51863253,0.034117404,0.52330506,0.023559427,0.57250774,0.02043031,0.53701186,0.023343446,0.5394008,0.020429205,0.39448744,0.024887212,0.45302886,0.017201904,0.3480647,0.017111868,0.5256002,0.020528158,0.57018715,0.015431042
0104_Ed Sheeran_The A Team.wav,882000,86.1328125,0.32854837,0.08948735,0.22197764,0.003741668,1320.932967,432549.9329,1704.926825,294999.5474,2854.52414,2907480.11,0.048529148,0.000811863,1.32E-06,0.037976783,-1.16E-05,0.005090425,0.5969798,0.039152794,0.6164155,0.031566247,0.4913543,0.03673571,0.42648825,0.029763265,0.49745178,0.041464623,0.45329046,0.03444413,0.41515496,0.035557684,0.45305008,0.032978512,0.462849,0.026546052,0.49911338,0.032484006,0.46736577,0.02999739,0.45718893,0.018395273,0.46325877,0.030707693,0.4295986,0.014997364,0.46436605,0.025278978,0.49174315,0.02225187,0.5131986,0.023140017,0.4143119,0.024370497,0.47550368,0.019089378,0.35484508,0.01567201
1612_서사무엘_창문 .wav,882000,89.10290948,0.400332,0.095211715,0.23661141,0.013492667,1657.108965,407274.9093,1901.864016,124553.3852,3622.333426,2080455.013,0.070253838,0.002596539,-7.86E-05,0.02976047,0.000211609,0.02262512,0.65041494,0.027402278,0.63751775,0.014684124,0.51813126,0.03062781,0.47032693,0.031378057,0.5267741,0.019402862,0.48847696,0.02570949,0.53731954,0.025052728,0.54509526,0.036889117,0.4951296,0.02801858,0.6040208,0.02279267,0.55077296,0.02729696,0.5913517,0.015645554,0.47510505,0.02174827,0.5309075,0.020126417,0.48241007,0.023537084,0.5011981,0.028920714,0.5987033,0.024133053,0.47207695,0.03230019,0.5049456,0.019225592,0.4985111,0.01841577
2520_윤하_기도.wav,882000,123.046875,0.22768459,0.08478359,0.22889279,0.009081171,1391.950792,112311.032,1463.401015,57496.93235,2898.790307,657549.8399,0.069245253,0.000576768,-0.003480596,0.04989467,-0.001454669,0.003031954,0.5796063,0.035043143,0.6293976,0.023780668,0.45312992,0.023640716,0.53749245,0.021006888,0.43328223,0.027612453,0.45600048,0.029545497,0.6036785,0.027402323,0.4670189,0.027481377,0.57518864,0.023870604,0.5686053,0.024286922,0.5227645,0.026565937,0.52699167,0.023627542,0.47976208,0.02148582,0.50426394,0.021002876,0.4329283,0.03074495,0.49339563,0.03175764,0.45493725,0.034879427,0.46123144,0.03202863,0.5492823,0.026683195,0.503211,0.028507758
2811_JK 김동욱_조율.wav,882000,92.28515625,0.2965364,0.089781135,0.078435406,0.001888062,1325.786954,528397.7648,1574.653525,229637.8494,2756.025045,2449021.854,0.057253031,0.002812026,-1.46E-06,0.006093693,1.03E-05,0.000666781,0.56448996,0.037377805,0.6531005,0.027995886,0.61897737,0.026722718,0.37964588,0.032446533,0.58268154,0.048136484,0.44875687,0.03751871,0.46786878,0.02655302,0.47081372,0.02707142,0.52326626,0.025651844,0.47991213,0.024897547,0.49689758,0.016932996,0.57017493,0.021966778,0.5531551,0.020129766,0.58793896,0.023944408,0.44903758,0.025186654,0.58255476,0.020951765,0.40856355,0.03074793,0.60880303,0.01693207,0.55480224,0.019164931,0.43879792,0.020044059
1351_베이빌론_라라라 Feat. 청하.wav,882000,103.359375,0.41830987,0.084977366,0.3014589,0.010562722,2393.518564,355659.916,2027.477025,40344.34372,4866.560145,797252.3626,0.134162287,0.004523401,-6.38E-06,0.04190839,2.06E-05,0.03146106,0.68178546,0.023342418,0.46392506,0.020268451,0.4297586,0.02437309,0.48655802,0.02651684,0.4006475,0.018642096,0.5725527,0.020399615,0.49367613,0.025565045,0.56057084,0.02832187,0.4617169,0.027852857,0.552799,0.018706951,0.5214651,0.011981795,0.50011694,0.020915875,0.51613134,0.015451707,0.5523823,0.015408929,0.56897444,0.017769698,0.47844368,0.020330284,0.38114354,0.012844719,0.4535567,0.025491305,0.4291516,0.01792959,0.44254094,0.02017308
1599_제이레빗_좋은일이 있을거야.wav,882000,123.046875,0.26420882,0.08833694,0.15608025,0.005052228,1360.210095,289757.9539,1292.278611,122707.0098,2592.838858,1230955.338,0.077713234,0.001190753,1.32E-06,0.02034914,7.82E-06,0.003247784,0.6440547,0.026587771,0.6748376,0.026774537,0.40959293,0.026946768,0.55964565,0.028259892,0.55158246,0.029272933,0.4175158,0.026592532,0.615039,0.019801164,0.411869,0.018943211,0.5474792,0.026822077,0.47742373,0.024575947,0.37529808,0.024524545,0.5346385,0.028595427,0.4327413,0.025009174,0.49194822,0.026690425,0.4135791,0.026590504,0.49027434,0.021232406,0.43492618,0.022180883,0.36175683,0.02290827,0.4643785,0.02001056,0.49273756,0.025937429
0476_2AM_I Love You feat. 백찬 주희 of 8eight.wav,882000,89.10290948,0.42068896,0.091441624,0.2878148,0.009427141,2162.619565,346000.7277,1962.620087,57808.33686,4439.732817,1067550.939,0.12016508,0.003488458,-1.36E-05,0.038722597,-0.000574993,0.028494481,0.66941816,0.020935846,0.5367489,0.018301371,0.49822,0.02548491,0.5606395,0.027280841,0.4810241,0.029357132,0.5592497,0.026146734,0.5359047,0.020139884,0.549922,0.021866938,0.4963661,0.020053731,0.54959196,0.027542645,0.5509014,0.023449304,0.5265832,0.024681339,0.55260974,0.01994955,0.5311284,0.01841074,0.5758993,0.024118925,0.5155759,0.021851845,0.44573107,0.015405123,0.5186246,0.021442728,0.4824429,0.018376477,0.46291018,0.015660094
0965_Omi_Hula Hoop.wav,882000,161.4990234,0.3399454,0.0903436,0.29801494,0.00693929,2032.121852,217189.2425,2025.554535,48758.39358,4453.954979,956985.846,0.09203804,0.001854802,2.46E-06,0.05953173,-9.52E-05,0.014908412,0.63957703,0.020185718,0.5448609,0.025462613,0.505433,0.023986626,0.55526924,0.021316677,0.557581,0.02125884,0.4748606,0.013438674,0.56103903,0.018760366,0.5875274,0.017303562,0.6012546,0.019917144,0.53299,0.028093992,0.4679042,0.022574173,0.58053595,0.01854356,0.5881848,0.022510892,0.5087907,0.02173471,0.60181075,0.0256623,0.50309277,0.021310259,0.45230657,0.026836522,0.38228795,0.01801838,0.36402458,0.023676168,0.4791422,0.027580757
1645_조애란_한 바퀴만 더 돌자.wav,882000,129.1992188,0.22728209,0.08738938,0.11577967,0.006288652,864.4516013,173690.4024,910.2082883,147690.8993,1509.617511,903781.6923,0.050039901,0.000561998,-4.22E-06,0.016836675,-2.45E-05,0.000903766,0.3803035,0.057286654,0.619619,0.02241033,0.5450318,0.05380635,0.40210184,0.029667107,0.53740567,0.02796459,0.48050275,0.026713671,0.5547228,0.027638923,0.53782535,0.029802624,0.50548476,0.021644881,0.51880115,0.02643889,0.464599,0.023176497,0.54772395,0.030978486,0.47676682,0.025388893,0.5533534,0.032395512,0.47583744,0.033582285,0.5644158,0.0217618,0.4250971,0.023264451,0.41527668,0.027787672,0.40087754,0.019347139,0.3476236,0.022116726
2072_윤건_With You.wav,882000,103.359375,0.32741117,0.08462426,0.26408282,0.005181434,1707.678979,191388.5696,1731.589205,77388.57605,3640.598531,844314.2959,0.084322459,0.000853976,0.000317391,0.046960097,0.002589481,0.011116654,0.53207517,0.0470698,0.5512534,0.028311484,0.53156084,0.024729932,0.6183515,0.025053855,0.545471,0.03373673,0.5854377,0.02725557,0.40603256,0.032702807,0.51090044,0.028833497,0.4268038,0.031660106,0.506537,0.028823907,0.5179829,0.03509726,0.45991865,0.022318756,0.51932204,0.03141477,0.5084716,0.02623683,0.59943765,0.01805949,0.48886085,0.027936028,0.5512185,0.025556339,0.5145266,0.017048046,0.48848882,0.022043323,0.4537139,0.025594998
0348_The Operators_Cold Light.wav,882000,135.9991776,0.4465546,0.080229275,0.3198035,0.010297776,1708.442585,208334.6602,1898.315992,71373.06444,3870.240207,1004258.99,0.06691947,0.001401787,1.56E-05,0.057317287,-0.000422989,0.021438116,0.67898715,0.037141226,0.6236725,0.02198052,0.39806452,0.043760568,0.5052096,0.02496937,0.4483717,0.014692144,0.44679654,0.019671666,0.50606257,0.022107976,0.53011143,0.024739288,0.45347962,0.02264479,0.4892941,0.023542846,0.4862961,0.025042692,0.48154685,0.02016376,0.45006764,0.024883749,0.49564672,0.022703568,0.5101195,0.021858472,0.5521752,0.012559877,0.5404862,0.01868434,0.44918722,0.019472832,0.47215903,0.016996281,0.4727898,0.02981907
3124_Stevie Wonder_Isnt She Lovely.wav,882000,117.4538352,0.3875393,0.08532142,0.14967495,0.002732404,1817.351929,162564.0525,1938.489471,41580.24577,4084.666169,826746.4427,0.096005786,0.001240778,-3.30E-06,0.009965876,-6.40E-05,0.007421938,0.69239646,0.018706404,0.7444427,0.01142013,0.38206342,0.025821228,0.5554247,0.02230601,0.37934107,0.020026408,0.5713443,0.01779883,0.41728103,0.02355307,0.45192605,0.02279691,0.3187103,0.011700655,0.44158635,0.015697788,0.34552446,0.013668985,0.63716483,0.01790193,0.62651855,0.014815226,0.4686557,0.017763473,0.46991763,0.02092858,0.559051,0.019774886,0.48339725,0.024935111,0.43642035,0.024183873,0.40044942,0.021577073,0.45631033,0.015038067
