time,frequency,confidence
24.500,343.893,0.071164
24.600,343.792,0.026346
24.700,340.911,0.043070
24.800,329.049,0.866397
24.900,327.916,0.953646
25.000,327.663,0.952869
25.100,329.059,0.937423
25.200,347.297,0.961893
25.300,351.911,0.955923
25.400,345.758,0.841357
25.500,330.342,0.688073
25.600,329.624,0.957255
25.700,328.183,0.916935
25.800,349.255,0.963752
25.900,349.561,0.962653
26.000,349.976,0.964546
26.100,349.285,0.956012
26.200,350.466,0.968337
26.300,349.539,0.963350
26.400,391.720,0.938046
26.500,385.065,0.771951
26.600,388.564,0.713531
26.700,389.857,0.471867
26.800,390.929,0.921167
26.900,391.771,0.937346
27.000,392.112,0.926182
27.100,391.823,0.911780
27.200,392.289,0.907156
27.300,392.260,0.902020
27.400,392.585,0.941431
27.500,392.230,0.938714
27.600,392.272,0.942055
27.700,391.690,0.922240
27.800,392.357,0.950230
27.900,391.545,0.936911
28.000,392.538,0.957282
28.100,390.958,0.930516
28.200,391.845,0.943519
28.300,393.042,0.953016
28.400,392.376,0.948428
28.500,388.074,0.943602
28.600,391.043,0.892279
28.700,391.142,0.923236
28.800,391.547,0.932336
28.900,391.272,0.916445
29.000,392.601,0.930681
29.100,390.394,0.929272
29.200,393.425,0.961104
29.300,391.924,0.936932
29.400,390.537,0.912613
29.500,389.965,0.733005
29.600,378.588,0.946748
29.700,360.780,0.880795
29.800,348.483,0.170402
29.900,349.723,0.614395
30.000,338.857,0.112476
30.100,339.488,0.063120
30.200,346.187,0.039250
30.300,346.618,0.559161
30.400,346.812,0.930179
30.500,346.605,0.930565
30.600,347.661,0.938829
30.700,347.034,0.917861
30.800,328.432,0.923710
30.900,333.173,0.865324
31.000,343.921,0.810263
31.100,347.904,0.818588
31.200,353.295,0.021896
31.300,355.654,0.039250
31.400,358.793,0.039250
31.500,370.630,0.039250
31.600,389.641,0.039250
31.700,398.635,0.039250
31.800,403.586,0.039250
31.900,405.555,0.039250
32.000,408.782,0.039250
32.100,414.526,0.039250
32.200,433.322,0.039250
32.300,447.787,0.225300
32.400,453.446,0.466665
32.500,464.829,0.594954
32.600,455.428,0.227380
32.700,448.544,0.534472
32.800,393.618,0.256227
32.900,356.520,0.134262
33.000,330.776,0.173651
33.100,316.059,0.066681
33.200,296.197,0.152567
33.300,276.516,0.039250
33.400,263.981,0.009077
33.500,247.768,0.039250
33.600,233.008,0.247448
33.700,220.693,0.111009
33.800,224.677,0.123513
33.900,221.801,0.010797
34.000,215.497,0.039250
34.100,221.865,0.012477
34.200,219.189,0.048332
34.300,218.753,0.022760
34.400,220.403,0.023364
34.500,220.722,0.017949
34.600,221.115,0.024386
34.700,218.387,0.172194
34.800,218.347,0.024022
34.900,221.571,0.205112
35.000,220.025,0.175858
35.100,217.157,0.124228
35.200,220.446,0.679522
35.300,220.131,0.880321
35.400,221.922,0.647724
35.500,231.949,0.856494
35.600,234.477,0.915482
35.700,233.146,0.945490
35.800,233.534,0.934956
35.900,259.655,0.922912
36.000,261.705,0.962246
36.100,256.437,0.387856
36.200,261.569,0.958603
36.300,261.542,0.961197
36.400,253.365,0.914315
36.500,234.783,0.890684
36.600,260.653,0.678604
36.700,235.285,0.872316
36.800,233.449,0.947072
36.900,235.687,0.240158
37.000,234.724,0.941173
37.100,234.119,0.947552
37.200,233.152,0.935230
37.300,235.634,0.857543
37.400,235.947,0.899857
37.500,235.269,0.828758
37.600,242.501,0.206065
37.700,220.727,0.182161
37.800,246.092,0.159868
37.900,232.802,0.084667
38.000,220.403,0.382030
38.100,219.391,0.903775
38.200,232.518,0.895327
38.300,233.334,0.926998
38.400,231.028,0.601684
38.500,219.679,0.915494
38.600,220.132,0.948961
38.700,206.652,0.804823
38.800,179.701,0.926905
38.900,173.818,0.916931
39.000,173.547,0.929392
39.100,168.592,0.530307
39.200,186.239,0.691961
39.300,193.367,0.875082
39.400,188.623,0.749539
39.500,176.664,0.883757
39.600,171.149,0.425925
39.700,186.096,0.402195
39.800,196.149,0.933464
39.900,219.997,0.927442
40.000,217.157,0.733868
